,date,visitor,home,visitor_score,home_score,visitor_first_downs,visitor_net_yards,visitor_total_plays,visitor_avg_gain,visitor_time_of_possession,home_first_downs,home_net_yards,home_total_plays,home_avg_gain,home_time_of_possession
0,2014-09-07,Cleveland,Pittsburgh,27,30,23,389,64,6.1,27:33,24,503,67,7.5,32:27
1,2014-09-07,Jacksonville,Philadelphia,17,34,18,306,70,4.4,29:14,24,420,82,5.1,30:46
2,2014-09-04,Green Bay,Seattle,16,36,19,255,57,4.5,26:40,25,398,66,6.0,33:20
3,2014-09-07,Minnesota,St. Louis,34,6,18,355,57,6.2,28:17,15,318,63,5.0,31:43
4,2014-09-07,Cincinnati,Baltimore,23,16,16,380,64,5.9,30:30,26,423,85,5.0,29:30
5,2014-09-07,Oakland,NY Jets,14,19,11,158,49,3.2,25:10,20,402,65,6.2,34:50
6,2014-09-07,Buffalo,Chicago,23,20,15,360,56,6.4,30:32,29,427,69,6.2,34:42
7,2014-09-07,New Orleans,Atlanta,34,37,30,472,70,6.7,30:25,28,568,69,8.2,31:18
8,2014-09-07,Washington,Houston,6,17,20,372,63,5.9,30:54,16,321,56,5.7,29:06
9,2014-09-07,Tennessee,Kansas City,26,10,24,405,75,5.4,37:44,15,245,56,4.4,22:16
10,2014-09-07,San Francisco,Dallas,28,17,19,319,54,5.9,28:36,26,382,63,6.1,31:24
11,2014-09-07,New England,Miami,20,33,20,315,80,3.9,29:33,25,360,71,5.1,30:27
12,2014-09-07,Indianapolis,Denver,24,31,24,408,70,5.8,27:36,24,361,69,5.2,32:24
13,2014-09-07,Carolina,Tampa Bay,20,14,19,334,68,4.9,35:12,17,264,55,4.8,24:48
14,2014-09-11,Pittsburgh,Baltimore,6,26,17,301,57,5.3,24:52,25,323,65,5.0,35:08
15,2014-09-08,NY Giants,Detroit,14,35,16,197,57,3.5,23:56,20,417,63,6.6,36:04
16,2014-09-08,San Diego,Arizona,17,18,15,290,60,4.8,28:11,22,403,65,6.2,31:49
17,2014-09-14,Jacksonville,Washington,10,41,8,148,48,3.1,20:59,32,449,81,5.5,39:01
